respondent_id,h1n1_vaccine,seasonal_vaccine
32886,0.03,0.1
32888,0.03,0.35
32889,0.66,0.51
32890,0.03,0.3
32891,0.89,0.75
32892,0.36,0.56
32894,0.34,0.38
32895,0.14,0.64
32896,0.22,0.12
32897,0.18,0.33
32898,0.16,0.55
32900,0.39,0.73
32901,0.31,0.93
32902,0.05,0.37
32903,0.51,0.61
32904,0.02,0.13
32905,0.0,0.15
32906,0.17,0.52
32907,0.82,0.7
32908,0.75,0.69
32909,0.3,0.8
32910,0.01,0.48
32912,0.05,0.21
32913,0.61,0.91
32914,0.25,0.66
32915,0.06,0.35
32916,0.06,0.3
32917,0.02,0.65
32918,0.39,0.9
32919,0.84,0.44
32921,0.71,0.33
32923,0.21,0.95
32924,0.45,0.92
32925,0.06,0.21
32926,0.03,0.07
32927,0.06,0.12
32928,0.19,0.2
32929,0.08,0.57
32931,0.02,0.12
32932,0.14,0.24
32934,0.32,0.36
32935,0.14,0.45
32937,0.77,0.84
32938,0.02,0.13
32939,0.04,0.05
32940,0.13,0.5
32943,0.1,0.4
32944,0.19,0.69
32945,0.06,0.1
32946,0.01,0.35
32947,0.03,0.07
32948,0.21,0.55
32949,0.05,0.14
32950,0.06,0.73
32951,0.34,0.45
32952,0.84,0.81
32953,0.09,0.5
32955,0.15,0.74
32956,0.55,0.68
32957,0.0,0.24
32958,0.07,0.5
32959,0.1,0.2
32960,0.02,0.83
32961,0.49,0.56
32962,0.03,0.11
32963,0.33,0.49
32964,0.06,0.37
32965,0.15,0.26
32966,0.2,0.93
32967,0.19,0.57
32968,0.05,0.45
32969,0.05,0.28
32970,0.01,0.49
32971,0.02,0.13
32972,0.09,0.42
32973,0.5,0.88
32974,0.03,0.07
32975,0.66,0.73
32976,0.06,0.4
32980,0.27,0.27
32981,0.02,0.13
32982,0.06,0.64
32983,0.79,0.74
32984,0.35,0.84
32985,0.1,0.64
32986,0.09,0.79
32987,0.39,0.78
32988,0.02,0.2
32989,0.02,0.12
32990,0.83,0.9
32991,0.01,0.06
32992,0.7,0.48
32993,0.02,0.13
32994,0.01,0.46
32995,0.15,0.55
32996,0.35,0.65
32997,0.05,0.38
32999,0.03,0.27
33000,0.02,0.09
33001,0.08,0.72
33002,0.1,0.66
33004,0.03,0.49
33005,0.36,0.32
33006,0.73,0.7
33007,0.2,0.3
33008,0.12,0.12
33010,0.22,0.4
33015,0.09,0.23
33018,0.36,0.92
33019,0.88,0.89
33020,0.35,0.2
33021,0.02,0.1
33023,0.01,0.17
33024,0.11,0.64
33025,0.38,0.85
33026,0.93,0.91
33028,0.06,0.26
33029,0.18,0.62
33030,0.05,0.28
33031,0.16,0.66
33032,0.45,0.93
33033,0.08,0.7
33034,0.01,0.16
33035,0.01,0.04
33036,0.04,0.8
33037,0.25,0.71
33038,0.07,0.28
33039,0.23,0.33
33040,0.43,0.77
33042,0.02,0.06
33043,0.03,0.06
33044,0.03,0.1
33045,0.0,0.0
33047,0.04,0.35
33048,0.79,0.9
33049,0.04,0.19
33050,0.21,0.47
33052,0.87,0.95
33053,0.07,0.55
33055,0.02,0.59
33056,0.3,0.72
33057,0.02,0.11
33058,0.19,0.4
33059,0.18,0.2
33061,0.01,0.06
33062,0.04,0.6
33065,0.67,0.92
33066,0.32,0.27
33067,0.05,0.18
33068,0.04,0.12
33069,0.01,0.21
33070,0.02,0.43
33071,0.17,0.79
33072,0.2,0.95
33074,0.27,0.6
33076,0.15,0.44
33077,0.13,0.87
33078,0.46,0.94
33079,0.01,0.05
33080,0.19,0.21
33081,0.16,0.23
33082,0.2,0.6
33083,0.87,0.86
33084,0.36,0.45
33085,0.24,0.48
33086,0.05,0.62
33087,0.01,0.09
33088,0.05,0.38
33089,0.02,0.66
33090,0.03,0.14
33091,0.36,0.81
33092,0.11,0.1
33094,0.33,0.76
33095,0.68,0.75
33096,0.04,0.34
33097,0.07,0.27
33098,0.6,0.59
33099,0.14,0.19
33100,0.08,0.19
33104,0.23,0.52
33106,0.34,0.65
33107,0.02,0.48
33108,0.02,0.01
33109,0.14,0.71
33110,0.01,0.05
33113,0.1,0.9
33114,0.55,0.63
33116,0.02,0.06
33117,0.19,0.71
33118,0.12,0.44
33120,0.04,0.08
33121,0.21,0.7
33122,0.03,0.7
33123,0.07,0.37
33124,0.02,0.08
33125,0.65,0.66
33126,0.15,0.41
33127,0.55,0.5
33129,0.46,0.6
33130,0.05,0.24
33131,0.15,0.61
33132,0.71,0.87
33133,0.18,0.75
33134,0.04,0.12
33135,0.14,0.54
33136,0.92,0.7
33137,0.05,0.17
33138,0.29,0.67
33139,0.15,0.57
33140,0.02,0.07
33141,0.26,0.31
33142,0.03,0.36
33143,0.22,0.31
33145,0.14,0.94
33146,0.14,0.22
33147,0.01,0.06
33148,0.71,0.82
33149,0.33,0.32
33150,0.02,0.65
33151,0.01,0.34
33152,0.11,0.79
33154,0.1,0.91
33155,0.22,0.26
33156,0.13,0.25
33158,0.14,0.17
33161,0.02,0.13
33162,0.01,0.08
33164,0.04,0.7
33165,0.18,0.78
33166,0.02,0.61
33168,0.04,0.21
33171,0.25,0.58
33172,0.64,0.41
33173,0.15,0.64
33174,0.01,0.06
33175,0.05,0.3
33176,0.04,0.42
33177,0.03,0.76
33179,0.04,0.12
33180,0.01,0.16
33181,0.08,0.32
33182,0.01,0.13
33183,0.24,0.37
33184,0.03,0.44
33185,0.17,0.5
33186,0.01,0.78
33187,0.51,0.62
33188,0.08,0.84
33189,0.03,0.12
33191,0.01,0.1
33192,0.1,0.12
33193,0.37,0.59
33196,0.09,0.1
33197,0.13,0.48
33198,0.24,0.74
33199,0.1,0.27
33200,0.23,0.54
33202,0.03,0.21
33204,0.1,0.5
33205,0.14,0.19
33206,0.46,0.86
33207,0.0,0.23
33208,0.59,0.83
33210,0.33,0.76
33211,0.16,0.41
33212,0.06,0.05
33213,0.47,0.61
33215,0.01,0.02
33216,0.16,0.15
33218,0.06,0.85
33219,0.09,0.21
33221,0.36,0.49
33222,0.34,0.81
33223,0.13,0.65
33225,0.34,0.63
33226,0.02,0.05
33227,0.05,0.06
33228,0.46,0.53
33229,0.1,0.86
33230,0.03,0.18
33231,0.09,0.21
33232,0.01,0.11
33233,0.4,0.34
33234,0.63,0.43
33235,0.23,0.62
33237,0.04,0.2
33238,0.01,0.08
33239,0.16,0.54
33240,0.67,0.57
33241,0.31,0.58
33242,0.2,0.61
33243,0.53,0.81
33244,0.73,0.92
33245,0.39,0.62
33246,0.94,0.96
33247,0.05,0.14
33248,0.2,0.64
33249,0.01,0.03
33250,0.21,0.52
33251,0.11,0.05
33252,0.56,0.65
33254,0.02,0.72
33255,0.16,0.8
33256,0.03,0.11
33258,0.18,0.3
33259,0.35,0.87
33260,0.35,0.39
33261,0.14,0.5
33263,0.01,0.06
33264,0.22,0.89
33265,0.34,0.7
33266,0.01,0.15
33267,0.05,0.26
33268,0.37,0.7
33269,0.03,0.85
33270,0.14,0.29
33271,0.1,0.6
33272,0.52,0.95
33273,0.09,0.77
33275,0.77,0.83
33276,0.41,0.69
33277,0.01,0.29
33278,0.09,0.19
33279,0.5,0.62
33280,0.55,0.96
33281,0.01,0.05
33282,0.32,0.66
33284,0.1,0.16
33286,0.2,0.76
33287,0.18,0.82
33288,0.03,0.22
33289,0.11,0.23
33290,0.26,0.66
33291,0.05,0.14
33292,0.11,0.45
33293,0.04,0.3
33295,0.12,0.21
33296,0.09,0.67
33297,0.19,0.32
33298,0.09,0.09
33300,0.44,0.82
33301,0.15,0.83
33303,0.38,0.77
33304,0.03,0.25
33305,0.43,0.37
33306,0.0,0.04
33307,0.05,0.21
33308,0.0,0.39
33309,0.17,0.57
33310,0.04,0.16
33311,0.05,0.47
33312,0.02,0.1
33314,0.13,0.3
33316,0.02,0.27
33319,0.1,0.27
33320,0.05,0.26
33321,0.09,0.1
33323,0.11,0.17
33324,0.06,0.13
33325,0.26,0.28
33326,0.1,0.34
33327,0.03,0.01
33328,0.32,0.49
33329,0.13,0.23
33330,0.05,0.55
33332,0.14,0.27
33335,0.73,0.79
33336,0.04,0.72
33337,0.22,0.67
33338,0.03,0.09
33339,0.02,0.14
33340,0.02,0.42
33343,0.27,0.92
33344,0.55,0.73
33345,0.21,0.31
33346,0.02,0.76
33347,0.58,0.54
33349,0.1,0.45
33350,0.12,0.4
33353,0.15,0.22
33355,0.61,0.95
33356,0.09,0.33
33357,0.86,0.81
33358,0.54,0.73
33359,0.21,0.93
33362,0.01,0.16
33363,0.08,0.79
33364,0.15,0.62
33365,0.42,0.69
33367,0.13,0.6
33368,0.28,0.56
33369,0.13,0.67
33371,0.86,0.89
33372,0.17,0.73
33373,0.17,0.47
33375,0.02,0.11
33376,0.02,0.4
33377,0.06,0.61
33378,0.19,0.34
33379,0.34,0.76
33380,0.21,0.57
33381,0.16,0.59
33382,0.5,0.32
33383,0.02,0.49
33384,0.02,0.6
33385,0.06,0.43
33386,0.03,0.11
33387,0.0,0.18
33388,0.21,0.65
33389,0.03,0.62
33390,0.16,0.94
33391,0.24,0.35
33392,0.5,0.74
33393,0.32,0.69
33394,0.02,0.21
33395,0.51,0.47
33397,0.02,0.09
33399,0.09,0.45
33400,0.35,0.82
33401,0.03,0.14
33402,0.8,0.85
33404,0.03,0.09
33405,0.27,0.65
33406,0.16,0.58
33407,0.71,0.71
33408,0.02,0.15
33409,0.14,0.32
33410,0.03,0.32
33411,0.1,0.07
33412,0.76,0.76
33413,0.05,0.25
33414,0.36,0.76
33415,0.55,0.73
33416,0.11,0.11
33417,0.52,0.62
33419,0.85,0.94
33420,0.14,0.37
33422,0.2,0.91
33423,0.03,0.12
33424,0.02,0.21
33425,0.04,0.13
33426,0.12,0.21
33427,0.07,0.48
33428,0.05,0.25
33429,0.06,0.84
33430,0.52,0.44
33431,0.64,0.82
33432,0.09,0.37
33433,0.86,0.97
33434,0.1,0.78
33436,0.07,0.38
33437,0.06,0.5
33438,0.06,0.31
33440,0.04,0.56
33442,0.22,0.86
33443,0.04,0.19
33444,0.04,0.57
33445,0.14,0.26
33446,0.86,0.77
33447,0.39,0.75
33448,0.08,0.86
33449,0.02,0.19
33450,0.16,0.48
33451,0.1,0.4
33452,0.04,0.68
33453,0.51,0.39
33454,0.76,0.92
33455,0.07,0.86
33456,0.32,0.4
33457,0.22,0.58
33458,0.28,0.48
33459,0.19,0.42
33460,0.14,0.29
33461,0.08,0.78
33462,0.21,0.45
33464,0.1,0.48
33465,0.11,0.62
33466,0.43,0.45
33467,0.86,0.73
33468,0.11,0.67
33470,0.1,0.05
33472,0.47,0.75
33473,0.46,0.85
33474,0.11,0.52
33476,0.05,0.26
33477,0.71,0.34
33478,0.34,0.8
33479,0.17,0.69
33480,0.02,0.11
33481,0.19,0.94
33482,0.02,0.17
33483,0.0,0.08
33485,0.08,0.2
33486,0.46,0.46
33487,0.04,0.22
33488,0.33,0.79
33489,0.06,0.35
33490,0.45,0.72
33491,0.02,0.64
33492,0.19,0.37
33495,0.09,0.36
33496,0.18,0.63
33497,0.15,0.49
33499,0.03,0.75
33500,0.23,0.49
33503,0.45,0.27
33504,0.0,0.02
33506,0.28,0.24
33507,0.19,0.36
33508,0.44,0.57
33509,0.5,0.38
33510,0.65,0.71
33511,0.39,0.72
33513,0.04,0.57
33514,0.06,0.86
33515,0.4,0.9
33517,0.07,0.64
33518,0.05,0.66
33519,0.28,0.37
33521,0.15,0.28
33522,0.06,0.25
33523,0.03,0.13
33524,0.17,0.33
33525,0.03,0.12
33526,0.5,0.65
33527,0.82,0.89
33529,0.13,0.3
33531,0.09,0.1
33532,0.02,0.11
33533,0.0,0.16
33534,0.0,0.07
33535,0.05,0.2
33536,0.06,0.75
33537,0.37,0.59
33538,0.03,0.19
33539,0.16,0.22
33540,0.05,0.35
33542,0.03,0.31
33543,0.03,0.26
33544,0.03,0.22
33545,0.39,0.52
33546,0.22,0.94
33547,0.03,0.4
33548,0.13,0.37
33549,0.08,0.25
33550,0.07,0.65
33551,0.03,0.68
33553,0.03,0.25
33554,0.08,0.58
33557,0.44,0.82
33558,0.11,0.22
33561,0.05,0.25
33562,0.07,0.64
33563,0.0,0.26
33564,0.07,0.73
33565,0.15,0.37
33566,0.33,0.79
33568,0.2,0.22
33569,0.04,0.3
33570,0.28,0.81
33571,0.52,0.68
33573,0.01,0.06
33574,0.25,0.31
33575,0.19,0.52
33576,0.63,0.74
33577,0.11,0.29
33578,0.06,0.2
33579,0.04,0.4
33582,0.2,0.63
33583,0.2,0.5
33584,0.84,0.83
33585,0.79,0.72
33586,0.07,0.22
33587,0.03,0.53
33588,0.01,0.05
33589,0.02,0.36
33591,0.26,0.32
33592,0.02,0.15
33593,0.53,0.44
33594,0.24,0.32
33595,0.23,0.51
33596,0.01,0.68
33597,0.68,0.74
33598,0.75,0.84
33600,0.17,0.11
33601,0.38,0.54
33602,0.23,0.56
33603,0.03,0.64
33605,0.17,0.24
33606,0.25,0.69
33610,0.05,0.74
33611,0.17,0.26
33612,0.26,0.76
33613,0.63,0.51
33614,0.7,0.49
33615,0.01,0.47
33617,0.03,0.1
33619,0.14,0.56
33620,0.0,0.01
33621,0.06,0.65
33622,0.4,0.75
33623,0.08,0.6
33624,0.01,0.21
33625,0.02,0.54
33628,0.04,0.82
33629,0.09,0.3
33630,0.08,0.92
33631,0.03,0.5
33632,0.16,0.17
33633,0.1,0.1
33634,0.21,0.19
33635,0.08,0.14
33636,0.05,0.76
33637,0.51,0.75
33638,0.01,0.36
33639,0.05,0.88
33640,0.44,0.65
33641,0.17,0.15
33642,0.15,0.24
33643,0.03,0.16
33644,0.68,0.74
33645,0.5,0.82
33646,0.03,0.19
33647,0.41,0.3
33648,0.76,0.81
33650,0.68,0.25
33651,0.36,0.53
33652,0.01,0.12
33654,0.22,0.69
33655,0.02,0.19
33656,0.03,0.15
33657,0.19,0.24
33658,0.91,0.86
33659,0.2,0.25
33660,0.5,0.7
33661,0.11,0.75
33662,0.86,0.78
33663,0.03,0.17
33664,0.04,0.22
33665,0.15,0.86
33666,0.03,0.14
33667,0.02,0.39
33668,0.42,0.75
33669,0.13,0.39
33670,0.04,0.37
33671,0.04,0.86
33672,0.26,0.76
33673,0.02,0.11
33674,0.01,0.37
33675,0.11,0.84
33676,0.16,0.5
33677,0.13,0.27
33678,0.01,0.16
33679,0.03,0.32
33680,0.07,0.82
33681,0.21,0.82
33683,0.01,0.16
33685,0.03,0.5
33686,0.05,0.21
33687,0.63,0.9
33688,0.05,0.65
33689,0.3,0.72
33690,0.4,0.4
33691,0.01,0.19
33694,0.52,0.82
33695,0.03,0.55
33696,0.65,0.68
33697,0.1,0.61
33699,0.62,0.78
33700,0.25,0.52
33702,0.09,0.77
33703,0.12,0.33
33705,0.05,0.47
33707,0.12,0.11
33708,0.12,0.26
33709,0.11,0.17
33710,0.12,0.22
33711,0.08,0.43
33712,0.17,0.56
33715,0.07,0.93
33716,0.81,0.82
33717,0.18,0.41
33718,0.05,0.06
33719,0.14,0.3
33720,0.02,0.13
33721,0.29,0.39
33723,0.69,0.89
33724,0.1,0.97
33725,0.03,0.69
33726,0.03,0.15
33727,0.1,0.14
33728,0.07,0.81
33729,0.19,0.11
33730,0.09,0.07
33731,0.1,0.44
33732,0.05,0.26
33733,0.01,0.16
33734,0.65,0.72
33736,0.04,0.09
33738,0.81,0.68
33739,0.02,0.24
33740,0.06,0.87
33741,0.33,0.49
33742,0.06,0.53
33743,0.16,0.96
33744,0.57,0.19
33745,0.21,0.57
33746,0.25,0.73
33748,0.21,0.96
33749,0.97,0.97
33750,0.66,0.74
33751,0.82,0.83
33752,0.52,0.49
33753,0.01,0.46
33754,0.73,0.82
33757,0.4,0.39
33759,0.08,0.19
33761,0.06,0.2
33762,0.46,0.38
33763,0.6,0.67
33764,0.2,0.33
33765,0.08,0.72
33767,0.05,0.44
33768,0.59,0.41
33769,0.19,0.38
33770,0.37,0.29
33772,0.03,0.16
33773,0.23,0.81
33774,0.02,0.14
33775,0.02,0.05
33776,0.28,0.43
33777,0.03,0.23
33779,0.01,0.71
33780,0.04,0.5
33781,0.01,0.03
33783,0.12,0.79
33784,0.03,0.09
33785,0.18,0.28
33786,0.08,0.48
33787,0.03,0.27
33789,0.02,0.11
33792,0.02,0.11
33793,0.51,0.76
33794,0.03,0.2
33795,0.49,0.74
33796,0.27,0.58
33797,0.43,0.63
33798,0.06,0.85
33799,0.48,0.81
33800,0.08,0.31
33801,0.11,0.82
33802,0.04,0.14
33803,0.4,0.88
33805,0.92,0.85
33807,0.26,0.94
33808,0.13,0.36
33809,0.07,0.07
33811,0.12,0.34
33813,0.37,0.41
33814,0.03,0.09
33815,0.1,0.82
33816,0.04,0.58
33817,0.07,0.23
33818,0.58,0.8
33819,0.95,0.72
33820,0.01,0.11
33821,0.61,0.88
33822,0.06,0.6
33823,0.01,0.13
33824,0.15,0.11
33825,0.3,0.4
33827,0.23,0.37
33828,0.75,0.59
33829,0.34,0.62
33830,0.44,0.57
33831,0.74,0.88
33832,0.4,0.55
33835,0.01,0.17
33836,0.0,0.26
33837,0.09,0.31
33838,0.01,0.18
33839,0.06,0.26
33840,0.07,0.12
33841,0.81,0.77
33842,0.1,0.13
33844,0.16,0.32
33845,0.23,0.71
33846,0.02,0.05
33847,0.31,0.45
33849,0.07,0.17
33851,0.04,0.54
33852,0.61,0.83
33853,0.1,0.86
33854,0.01,0.08
33855,0.59,0.89
33856,0.01,0.15
33857,0.05,0.74
33858,0.2,0.56
33859,0.19,0.47
33860,0.04,0.25
33862,0.02,0.64
33863,0.04,0.16
33866,0.18,0.61
33867,0.34,0.25
33868,0.03,0.5
33869,0.03,0.02
33870,0.09,0.32
33871,0.02,0.71
33872,0.18,0.65
33873,0.04,0.23
33874,0.28,0.21
33875,0.87,0.96
33876,0.01,0.01
33877,0.71,0.74
33878,0.19,0.62
33879,0.02,0.08
33880,0.02,0.17
33881,0.0,0.27
33883,0.04,0.36
33884,0.23,0.15
33885,0.19,0.68
33886,0.06,0.56
33888,0.07,0.56
33889,0.23,0.77
33890,0.24,0.29
33891,0.31,0.95
33892,0.42,0.74
33893,0.03,0.08
33894,0.92,0.94
33895,0.12,0.14
33896,0.12,0.77
33898,0.11,0.5
33900,0.08,0.1
33902,0.03,0.82
33903,0.14,0.16
33904,0.19,0.89
33905,0.03,0.38
33906,0.3,0.5
33907,0.11,0.72
33908,0.06,0.18
33910,0.76,0.67
33911,0.12,0.57
33912,0.08,0.02
33913,0.56,0.79
33915,0.75,0.71
33916,0.46,0.66
33917,0.0,0.26
33918,0.23,0.26
33919,0.12,0.28
33921,0.09,0.51
33922,0.19,0.59
33923,0.4,0.79
33926,0.01,0.54
33927,0.57,0.52
33928,0.02,0.01
33929,0.06,0.07
33930,0.63,0.68
33932,0.21,0.16
33933,0.57,0.78
33934,0.49,0.83
33935,0.14,0.43
33936,0.03,0.64
33938,0.44,0.81
33939,0.89,0.89
33940,0.08,0.11
33941,0.04,0.16
33942,0.03,0.09
33943,0.32,0.52
33945,0.05,0.79
33947,0.04,0.44
33948,0.04,0.18
33950,0.01,0.05
33951,0.05,0.49
33952,0.01,0.05
33953,0.07,0.5
33954,0.88,1.0
33955,0.53,0.71
33956,0.01,0.22
33957,0.15,0.23
33958,0.11,0.09
33959,0.24,0.66
33960,0.03,0.21
33961,0.01,0.06
33962,0.47,0.84
33963,0.0,0.0
33964,0.01,0.43
33965,0.82,0.93
33966,0.74,0.64
33968,0.19,0.71
33969,0.15,0.72
33970,0.25,0.56
33971,0.05,0.31
33973,0.04,0.09
33974,0.02,0.16
33975,0.02,0.23
33976,0.45,0.23
33977,0.24,0.39
33979,0.12,0.34
33980,0.02,0.04
33981,0.16,0.69
33982,0.22,0.65
33983,0.76,0.71
33985,0.01,0.15
33986,0.15,0.26
33987,0.03,0.47
33988,0.19,0.48
33989,0.02,0.09
33993,0.07,0.24
33994,0.05,0.1
33995,0.61,0.48
33996,0.34,0.6
33997,0.21,0.86
33998,0.28,0.41
33999,0.26,0.59
34000,0.17,0.83
34001,0.35,0.61
34003,0.04,0.42
34004,0.93,0.96
34005,0.15,0.33
34007,0.12,0.3
34008,0.11,0.72
34009,0.09,0.25
34011,0.75,0.97
34012,0.13,0.41
34014,0.22,0.91
34015,0.03,0.11
34016,0.16,0.09
34017,0.02,0.52
34018,0.57,0.43
34020,0.02,0.61
34021,0.07,0.25
34022,0.47,0.93
34023,0.4,0.98
34026,0.02,0.58
34027,0.09,0.34
34029,0.15,0.9
34030,0.04,0.61
34031,0.01,0.61
34032,0.32,0.73
34033,0.55,0.78
34034,0.02,0.5
34035,0.15,0.67
34036,0.58,0.86
34037,0.33,0.56
34038,0.01,0.1
34039,0.44,0.76
34040,0.32,0.45
34041,0.29,0.59
34042,0.85,0.94
34043,0.71,0.96
34044,0.03,0.36
34045,0.02,0.13
34046,0.01,0.18
34047,0.1,0.7
34048,0.2,0.56
34049,0.0,0.12
34050,0.11,0.3
34051,0.05,0.15
34053,0.05,0.42
34055,0.03,0.29
34057,0.77,0.79
34059,0.87,0.77
34060,0.27,0.65
34061,0.24,0.63
34062,0.05,0.81
34063,0.61,0.41
34064,0.41,0.86
34065,0.18,0.31
34067,0.27,0.71
34068,0.02,0.1
34070,0.09,0.19
34071,0.19,0.93
34072,0.11,0.58
34075,0.26,0.66
34077,0.83,0.99
34078,0.02,0.06
34080,0.18,0.18
34081,0.45,0.84
34082,0.35,0.23
34084,0.03,0.36
34085,0.11,0.79
34086,0.11,0.37
34087,0.37,0.76
34088,0.01,0.12
34089,0.06,0.32
34090,0.24,0.26
34092,0.05,0.24
34093,0.04,0.42
34094,0.2,0.66
34095,0.1,0.2
34097,0.23,0.88
34099,0.04,0.25
34101,0.02,0.22
34102,0.02,0.32
34103,0.01,0.09
34105,0.02,0.83
34106,0.33,0.63
34107,0.47,0.64
34108,0.06,0.15
34109,0.13,0.16
34110,0.02,0.03
34111,0.04,0.01
34112,0.11,0.39
34113,0.56,0.56
34115,0.01,0.1
34117,0.11,0.6
34118,0.02,0.15
34119,0.02,0.15
34120,0.02,0.03
34121,0.12,0.46
34122,0.55,0.84
34123,0.14,0.21
34124,0.32,0.85
34125,0.02,0.2
34126,0.18,0.43
34127,0.03,0.59
34128,0.09,0.36
34129,0.02,0.54
34130,0.41,0.91
34131,0.19,0.99
34132,0.15,0.13
34133,0.06,0.56
34134,0.54,0.82
34135,0.17,0.74
34136,0.04,0.34
34138,0.77,0.57
34140,0.08,0.28
34141,0.21,0.77
34142,0.47,0.42
34144,0.9,0.83
34145,0.57,0.54
34146,0.55,0.83
34147,0.14,0.14
34148,0.13,0.78
34149,0.15,0.77
34150,0.21,0.93
34151,0.14,0.44
34152,0.05,0.88
34153,0.23,0.74
34154,0.05,0.19
34157,0.16,0.36
34158,0.08,0.76
34160,0.08,0.3
34162,0.18,0.38
34163,0.01,0.44
34164,0.03,0.27
34166,0.15,0.67
34167,0.58,0.67
34168,0.2,0.47
34169,0.28,0.24
34170,0.24,0.67
34171,0.09,0.26
34172,0.12,0.33
34173,0.03,0.17
34174,0.01,0.08
34175,0.44,0.64
34176,0.08,0.13
34177,0.03,0.52
34178,0.09,0.1
34180,0.04,0.11
34181,0.08,0.79
34183,0.02,0.02
34184,0.06,0.48
34185,0.03,0.32
34186,0.04,0.18
34188,0.29,0.28
34189,0.13,0.92
34190,0.21,0.36
34191,0.03,0.27
34192,0.26,0.84
34195,0.83,0.87
34196,0.04,0.14
34197,0.91,0.75
34198,0.34,0.54
34199,0.11,0.93
34200,0.16,0.43
34201,0.16,0.79
34202,0.07,0.79
34205,0.64,0.91
34206,0.02,0.52
34207,0.14,0.13
34208,0.18,0.32
34209,0.09,0.42
34211,0.16,0.39
34213,0.12,0.72
34214,0.5,0.72
34215,0.12,0.11
34216,0.42,0.97
34217,0.07,0.66
34219,0.11,0.72
34221,0.07,0.87
34223,0.17,0.9
34224,0.06,0.59
34226,0.0,0.14
34227,0.0,0.19
34228,0.0,0.2
34229,0.02,0.58
34230,0.08,0.32
34231,0.06,0.43
34232,0.09,0.91
34234,0.7,0.91
34235,0.47,0.6
34236,0.03,0.04
34237,0.36,0.32
34238,0.04,0.38
34239,0.04,0.46
34240,0.01,0.07
34242,0.14,0.32
34243,0.04,0.15
34244,0.4,0.92
34245,0.88,0.77
34246,0.08,0.6
34247,0.08,0.18
34249,0.02,0.19
34250,0.46,0.64
34251,0.03,0.17
34252,0.83,0.88
34253,0.02,0.16
34254,0.19,0.46
34255,0.09,0.31
34256,0.2,0.52
34259,0.01,0.0
34260,0.18,0.14
34263,0.48,0.19
34265,0.02,0.08
34266,0.4,0.74
34267,0.79,0.74
34269,0.11,0.1
34270,0.04,0.52
34271,0.02,0.37
34272,0.06,0.13
34273,0.09,0.71
34274,0.01,0.43
34275,0.63,0.81
34276,0.66,0.66
34278,0.56,0.36
34279,0.09,0.17
34280,0.01,0.08
34281,0.1,0.4
34282,0.33,0.63
34283,0.61,0.67
34284,0.04,0.42
34285,0.08,0.14
34286,0.12,0.62
34288,0.45,0.72
34289,0.03,0.27
34290,0.9,0.93
34291,0.04,0.8
34292,0.03,0.41
34293,0.31,0.35
34296,0.17,0.37
34297,0.86,0.93
34298,0.03,0.31
34300,0.13,0.1
34301,0.16,0.54
34304,0.02,0.06
34305,0.07,0.09
34306,0.22,0.51
34307,0.16,0.35
34308,0.01,0.22
34309,0.03,0.08
34310,0.02,0.1
34311,0.01,0.37
34312,0.02,0.08
34314,0.05,0.22
34315,0.17,0.2
34316,0.61,0.89
34317,0.01,0.93
34320,0.17,0.78
34321,0.05,0.16
34322,0.13,0.34
34323,0.17,0.13
34324,0.33,0.57
34326,0.18,0.36
34327,0.74,0.89
34328,0.17,0.3
34329,0.08,0.63
34330,0.72,0.76
34331,0.39,0.27
34332,0.26,0.25
34333,0.02,0.21
34334,0.54,0.5
34335,0.01,0.07
34336,0.05,0.22
34337,0.46,0.43
34338,0.65,0.92
34340,0.04,0.58
34341,0.25,0.53
34342,0.53,0.46
34343,0.12,0.14
34344,0.09,0.77
34345,0.03,0.06
34346,0.16,0.2
34347,0.07,0.31
34348,0.11,0.75
34349,0.57,0.84
34352,0.27,0.51
34353,0.02,0.14
34354,0.34,0.48
34355,0.21,0.5
34357,0.7,0.85
34358,0.04,0.62
34359,0.01,0.06
34360,0.13,0.71
34361,0.07,0.45
34362,0.15,0.12
34363,0.64,0.78
34365,0.71,0.63
34366,0.15,0.78
34367,0.21,0.15
34368,0.09,0.14
34369,0.18,0.71
34370,0.11,0.22
34372,0.03,0.23
34373,0.03,0.48
34374,0.08,0.84
34375,0.03,0.38
34376,0.15,0.44
34377,0.11,0.47
34378,0.03,0.79
34379,0.03,0.58
34380,0.23,0.51
34381,0.15,0.62
34382,0.54,0.81
34383,0.02,0.39
34384,0.33,0.71
34385,0.11,0.85
34386,0.13,0.67
34387,0.02,0.1
34388,0.3,0.5
34389,0.28,0.6
34390,0.77,0.94
34391,0.15,0.36
34392,0.04,0.12
34393,0.05,0.54
34394,0.02,0.03
34395,0.07,0.15
34396,0.04,0.28
34397,0.12,0.13
34398,0.2,0.47
34400,0.98,0.83
34401,0.1,0.39
34402,0.16,0.08
34403,0.05,0.42
34404,0.01,0.77
34406,0.89,0.92
34407,0.35,0.63
34408,0.04,0.23
34409,0.02,0.37
34410,0.23,0.72
34411,0.17,0.2
34412,0.05,0.36
34414,0.68,0.86
34415,0.03,0.2
34416,0.08,0.21
34418,0.09,0.63
34419,0.04,0.47
34420,0.08,0.21
34421,0.19,0.54
34422,0.01,0.13
34423,0.3,0.35
34424,0.03,0.88
34425,0.02,0.05
34426,0.01,0.04
34427,0.86,0.9
34428,0.16,0.41
34429,0.16,0.38
34430,0.75,0.51
34431,0.01,0.52
34432,0.03,0.04
